"","Date","third_MVP_top4","third_MVP_bottom4","third_maxSR_top4","third_maxSR_bottom4","third_EW_top4","third_EW_bottom4","third_InvInef_top4","third_InvInef_bottom4","third_MVP_top8","third_MVP_bottom8","third_maxSR_top8","third_maxSR_bottom8","third_EW_top8","third_EW_bottom8","third_InvInef_top8","third_InvInef_bottom8"
"167",2022-06-16,-0.658897958197203,-0.787900500081725,-0.650734042763334,-0.820085891812028,-0.67820486400092,-0.789155129035759,-0.669434115285188,-0.80201137073442,-0.643073523001254,-0.626425641376657,-0.719566827824979,-0.745455435621528,-0.671946783697865,-0.736272619072403,-0.611206922801216,-0.734239826308052
"168",2022-06-17,-0.640213077805136,-0.780176219585846,-0.64030692858986,-0.813029290903665,-0.661946840085362,-0.781502888185554,-0.65073493548351,-0.794764089562138,-0.63058476038851,-0.624655112312677,-0.713127468904212,-0.740305389513352,-0.659513005579072,-0.730725495024908,-0.599488725020468,-0.72830479988495
"169",2022-06-18,-0.671037371987957,-0.789290505230782,-0.673169301416037,-0.824790055683542,-0.686572952139171,-0.792578990056433,-0.678388546955403,-0.806828590776289,-0.651996472422204,-0.653213264644112,-0.739019531151942,-0.767930107206026,-0.676264983358965,-0.750068639482548,-0.612152996549382,-0.748440437426874
"170",2022-06-19,-0.640179227393483,-0.774911985736047,-0.644781076669126,-0.809227461607844,-0.653984311508185,-0.776501221541548,-0.646346787988708,-0.792061403238539,-0.626482461257084,-0.626002595931134,-0.710626834749285,-0.74510060286312,-0.651837077596874,-0.730223606011429,-0.590707902566208,-0.725951974150862
"171",2022-06-20,-0.630442627426653,-0.77522843778739,-0.641474394191557,-0.808760835008413,-0.648422256282417,-0.776781511196339,-0.638336335417034,-0.792085211276105,-0.623529555329034,-0.625647711299865,-0.70944930961564,-0.74829907981236,-0.648013219708355,-0.732270671293842,-0.588935350580119,-0.728063115304313
"172",2022-06-21,-0.627366243952147,-0.751153559710574,-0.637251855220558,-0.790421479521112,-0.646851488458516,-0.756664580785423,-0.635999671823568,-0.778569666754161,-0.6150065413968,-0.621540036403597,-0.708349013519027,-0.733233285149164,-0.643163526536815,-0.718103852733293,-0.577445251047623,-0.710956199298917
"173",2022-06-22,-0.647178090070764,-0.767186141642598,-0.646016577171317,-0.802587528671066,-0.663024188853161,-0.770409744668067,-0.655348730679486,-0.787913702758082,-0.634594346682435,-0.635752023521714,-0.722420484932507,-0.744732710200198,-0.658107231923669,-0.730177969360778,-0.592940928878882,-0.725062141125326
"174",2022-06-23,-0.618481095138,-0.755646641684414,-0.622542730334254,-0.791884459005223,-0.641775959952422,-0.759181304948894,-0.629588621861438,-0.776910331744874,-0.611479931311938,-0.616708854117276,-0.701360541415306,-0.734818501999508,-0.641829427515207,-0.71843042039581,-0.577631946458772,-0.713742255173917
"175",2022-06-24,-0.60519226647428,-0.740105078925956,-0.604373906399399,-0.782557089253419,-0.627710120639784,-0.744793436258847,-0.616432656461495,-0.764187603793857,-0.594674153364753,-0.613457737368446,-0.683329167908282,-0.72513217417788,-0.628728767414276,-0.70521135003382,-0.562091931514922,-0.70048995342425
"176",2022-06-25,-0.603041777921048,-0.737812479324016,-0.605280681893802,-0.773826093300104,-0.627399844456155,-0.740030724809492,-0.614916199836264,-0.756008229515624,-0.594039093173965,-0.608964128644223,-0.68129352548355,-0.718354810340077,-0.629398753884596,-0.702646186901558,-0.564867398226613,-0.698040181689226
"177",2022-06-26,-0.60915563948619,-0.745817841342075,-0.615000161275464,-0.778978885885026,-0.636382190560667,-0.745376134848086,-0.622382952683688,-0.763746890626122,-0.601117755476642,-0.617994201550627,-0.691112403571181,-0.723093531251967,-0.638085744796306,-0.710738589372635,-0.572932449888275,-0.700302343480524
"178",2022-06-27,-0.618739702528749,-0.747614014309973,-0.615346036286772,-0.777373808518327,-0.642986116196845,-0.746363256701124,-0.631805157455444,-0.762662848623131,-0.603288935350158,-0.623218220557407,-0.692116946802927,-0.723259414274477,-0.6400082104934,-0.713094671809609,-0.570750244382058,-0.70347810923397
"179",2022-06-28,-0.631188962132391,-0.765021853863472,-0.626571266551678,-0.797057314674029,-0.658633898450714,-0.765195403938827,-0.645784639333871,-0.781025634294943,-0.613858095758346,-0.632216753589399,-0.703288603318982,-0.741822515409668,-0.653805062246475,-0.728102519353456,-0.583304079844327,-0.720963237692393
"180",2022-06-29,-0.633629225522001,-0.765829179500501,-0.639376939555434,-0.793206459966583,-0.664065910683022,-0.763978079432762,-0.648333430043201,-0.780185703418221,-0.620102637480614,-0.635616664193177,-0.714509196234678,-0.741184203192355,-0.659706087183152,-0.730914578205043,-0.590646689475317,-0.720481573440786
"181",2022-06-30,-0.645334048668068,-0.770806830887976,-0.639344049827981,-0.799757365956151,-0.673763835173607,-0.769489138889116,-0.660750001014614,-0.784094715800216,-0.629791715487196,-0.641497903787707,-0.719076944426357,-0.746632808606592,-0.665767171551363,-0.734239647732538,-0.59606291398754,-0.726366882010453
