"Strategy_name","Test_period","value","variable","KPI"
"first_MVP_bottom4","2020",0.031,"daily downside risk","DownsideRiskRatio"
"first_MVP_bottom4","2020",0.4914,"Annualised downside risk","DownsideRiskRatio"
"first_MVP_bottom4","2020",0.0097,"Downside potential","DownsideRiskRatio"
"first_MVP_bottom4","2020",1.3859,"Omega","DownsideRiskRatio"
"first_MVP_bottom4","2020",0.1214,"Sortino ratio","DownsideRiskRatio"
"first_MVP_bottom4","2020",0.0135,"Upside potential","DownsideRiskRatio"
"first_MVP_bottom4","2020",0.4921,"Upside potential ratio","DownsideRiskRatio"
"first_MVP_bottom4","2020",0.3859,"Omega-sharpe ratio","DownsideRiskRatio"
"first_maxSR_top4","2020",-0.444916487689346,"Total Return","TotalReturn"
"first_maxSR_top4","2020",-0.3332,"Annualized Return","AnnualizedReturns"
"first_maxSR_top4","2020",0.8488,"Annualized Std Dev","AnnualizedReturns"
"first_maxSR_top4","2020",-0.3995,"Annualized Sharpe (Rf=0.89%)","AnnualizedReturns"
"first_maxSR_top4","2020",0.0535,"daily  Std Dev","Distributions"
"first_maxSR_top4","2020",-2.3631,"Skewness","Distributions"
"first_maxSR_top4","2020",25.8968,"Kurtosis","Distributions"
"first_maxSR_top4","2020",22.8968,"Excess kurtosis","Distributions"
"first_maxSR_top4","2020",-2.3826,"Sample skewness","Distributions"
"first_maxSR_top4","2020",23.2293,"Sample excess kurtosis","Distributions"
"first_maxSR_top4","2020",0.042,"Semi Deviation","DownsideRisk"
"first_maxSR_top4","2020",0.0343,"Gain Deviation","DownsideRisk"
"first_maxSR_top4","2020",0.0508,"Loss Deviation","DownsideRisk"
"first_maxSR_top4","2020",0.042,"Downside Deviation (MAR=0%)","DownsideRisk"
"first_maxSR_top4","2020",0.042,"Downside Deviation (Rf=0%)","DownsideRisk"
"first_maxSR_top4","2020",0.042,"Downside Deviation (0%)","DownsideRisk"
"first_maxSR_top4","2020",0.7488,"Maximum Drawdown","DownsideRisk"
"first_maxSR_top4","2020",-0.07,"Historical VaR (95%)","DownsideRisk"
"first_maxSR_top4","2020",-0.1376,"Historical ES (95%)","DownsideRisk"
"first_maxSR_top4","2020",-0.0934,"Modified VaR (95%)","DownsideRisk"
"first_maxSR_top4","2020",-0.305,"Modified ES (95%)","DownsideRisk"
"first_maxSR_top4","2020",0.042,"daily downside risk","DownsideRiskRatio"
"first_maxSR_top4","2020",0.6661,"Annualised downside risk","DownsideRiskRatio"
"first_maxSR_top4","2020",0.0159,"Downside potential","DownsideRiskRatio"
"first_maxSR_top4","2020",1.0013,"Omega","DownsideRiskRatio"
"first_maxSR_top4","2020",5e-04,"Sortino ratio","DownsideRiskRatio"
"first_maxSR_top4","2020",0.0159,"Upside potential","DownsideRiskRatio"
"first_maxSR_top4","2020",0.5095,"Upside potential ratio","DownsideRiskRatio"
"first_maxSR_top4","2020",0.0013,"Omega-sharpe ratio","DownsideRiskRatio"
"first_maxSR_bottom4","2020",0.542616909414054,"Total Return","TotalReturn"
"first_maxSR_bottom4","2020",0.3478,"Annualized Return","AnnualizedReturns"
"first_maxSR_bottom4","2020",0.8082,"Annualized Std Dev","AnnualizedReturns"
"first_maxSR_bottom4","2020",0.4156,"Annualized Sharpe (Rf=0.89%)","AnnualizedReturns"
"first_maxSR_bottom4","2020",0.0509,"daily  Std Dev","Distributions"
"first_maxSR_bottom4","2020",-3.4432,"Skewness","Distributions"
"first_maxSR_bottom4","2020",39.1983,"Kurtosis","Distributions"
"first_maxSR_bottom4","2020",36.1983,"Excess kurtosis","Distributions"
"first_maxSR_bottom4","2020",-3.4716,"Sample skewness","Distributions"
"first_maxSR_bottom4","2020",36.7143,"Sample excess kurtosis","Distributions"
"first_maxSR_bottom4","2020",0.0413,"Semi Deviation","DownsideRisk"
"first_maxSR_bottom4","2020",0.0279,"Gain Deviation","DownsideRisk"
"first_maxSR_bottom4","2020",0.051,"Loss Deviation","DownsideRisk"
"first_maxSR_bottom4","2020",0.0403,"Downside Deviation (MAR=0%)","DownsideRisk"
"first_maxSR_bottom4","2020",0.0403,"Downside Deviation (Rf=0%)","DownsideRisk"
"first_maxSR_bottom4","2020",0.0403,"Downside Deviation (0%)","DownsideRisk"
"first_maxSR_bottom4","2020",0.7359,"Maximum Drawdown","DownsideRisk"
"first_maxSR_bottom4","2020",-0.0658,"Historical VaR (95%)","DownsideRisk"
"first_maxSR_bottom4","2020",-0.1221,"Historical ES (95%)","DownsideRisk"
"first_maxSR_bottom4","2020",-0.0822,"Modified VaR (95%)","DownsideRisk"
"first_maxSR_bottom4","2020",-0.2145,"Modified ES (95%)","DownsideRisk"
"first_maxSR_bottom4","2020",0.0403,"daily downside risk","DownsideRiskRatio"
"first_maxSR_bottom4","2020",0.6399,"Annualised downside risk","DownsideRiskRatio"
"first_maxSR_bottom4","2020",0.0146,"Downside potential","DownsideRiskRatio"
"first_maxSR_bottom4","2020",1.1879,"Omega","DownsideRiskRatio"
"first_maxSR_bottom4","2020",0.0679,"Sortino ratio","DownsideRiskRatio"
"first_maxSR_bottom4","2020",0.0173,"Upside potential","DownsideRiskRatio"
"first_maxSR_bottom4","2020",0.5123,"Upside potential ratio","DownsideRiskRatio"
"first_maxSR_bottom4","2020",0.1879,"Omega-sharpe ratio","DownsideRiskRatio"
"first_EW_top4","2020",0.342123046621679,"Total Return","TotalReturn"
"first_EW_top4","2020",0.2246,"Annualized Return","AnnualizedReturns"
"first_EW_top4","2020",0.8216,"Annualized Std Dev","AnnualizedReturns"
"first_EW_top4","2020",0.2601,"Annualized Sharpe (Rf=0.89%)","AnnualizedReturns"
"first_EW_top4","2020",0.0518,"daily  Std Dev","Distributions"
